state,district,year,month,rain
Maharashtra,Buldana,2016,July,372.3
Maharashtra,Buldana,2016,August,285.8
Maharashtra,Buldana,2016,September,99.5
Maharashtra,Buldana,2016,October,44.5
Maharashtra,Buldana,2016,November,23.8
Maharashtra,Buldana,2016,December,0
Maharashtra,Chandrapur,2020,January,42.8
Maharashtra,Chandrapur,2020,February,4.3
Maharashtra,Chandrapur,2020,March,0.1
Maharashtra,Chandrapur,2020,April,5.1
Maharashtra,Chandrapur,2020,May,26.3
Maharashtra,Chandrapur,2020,June,127.5
Maharashtra,Chandrapur,2020,July,238.9
Maharashtra,Chandrapur,2020,August,244.4
Maharashtra,Chandrapur,2020,September,114.8
Maharashtra,Chandrapur,2020,October,14.8
Maharashtra,Chandrapur,2020,November,17
Maharashtra,Chandrapur,2020,December,0
Maharashtra,Chandrapur,2019,January,135
Maharashtra,Chandrapur,2019,February,16.9
Maharashtra,Chandrapur,2019,March,11
Maharashtra,Chandrapur,2019,April,11.9
Maharashtra,Chandrapur,2019,May,13.7
Maharashtra,Chandrapur,2019,June,197.1
Maharashtra,Chandrapur,2019,July,529.1
Maharashtra,Chandrapur,2019,August,304.2
Maharashtra,Chandrapur,2019,September,263.6
Maharashtra,Chandrapur,2019,October,107.6
Maharashtra,Chandrapur,2019,November,0
Maharashtra,Chandrapur,2019,December,12.7
Maharashtra,Chandrapur,2018,January,0
Maharashtra,Chandrapur,2018,February,0
Maharashtra,Chandrapur,2018,March,65.3
Maharashtra,Chandrapur,2018,April,49.7
Maharashtra,Chandrapur,2018,May,38.5
Maharashtra,Chandrapur,2018,June,147.6
Maharashtra,Chandrapur,2018,July,455.5
Maharashtra,Chandrapur,2018,August,336.5
Maharashtra,Chandrapur,2018,September,143.3
Maharashtra,Chandrapur,2018,October,27.6
Maharashtra,Chandrapur,2018,November,6.3
Maharashtra,Chandrapur,2018,December,0
Maharashtra,Chandrapur,2017,January,0
Maharashtra,Chandrapur,2017,February,0
Maharashtra,Chandrapur,2017,March,9.8
Maharashtra,Chandrapur,2017,April,22.8
Maharashtra,Chandrapur,2017,May,10.1
Maharashtra,Chandrapur,2017,June,343.1
Maharashtra,Chandrapur,2017,July,339.5
Maharashtra,Chandrapur,2017,August,386.3
Maharashtra,Chandrapur,2017,September,264.1
Maharashtra,Chandrapur,2017,October,73.1
Maharashtra,Chandrapur,2017,November,6.4
Maharashtra,Chandrapur,2017,December,0
Maharashtra,Chandrapur,2014,January,2.6
Maharashtra,Chandrapur,2014,February,12.7
Maharashtra,Chandrapur,2014,March,53.5
Maharashtra,Chandrapur,2014,April,2.9
Maharashtra,Chandrapur,2014,May,3.2
Maharashtra,Chandrapur,2014,June,141.5
Maharashtra,Chandrapur,2014,July,318.2
Maharashtra,Chandrapur,2014,August,398.6
Maharashtra,Chandrapur,2014,September,133.9
Maharashtra,Chandrapur,2014,October,7.3
Maharashtra,Chandrapur,2014,November,0
Maharashtra,Chandrapur,2014,December,0
Maharashtra,Chandrapur,2015,January,0
Maharashtra,Chandrapur,2015,February,0
Maharashtra,Chandrapur,2015,March,1.8
Maharashtra,Chandrapur,2015,April,7.4
Maharashtra,Chandrapur,2015,May,12.9
Maharashtra,Chandrapur,2015,June,64.3
Maharashtra,Chandrapur,2015,July,335.8
Maharashtra,Chandrapur,2015,August,186
Maharashtra,Chandrapur,2015,September,64.8
Maharashtra,Chandrapur,2015,October,49.7
Maharashtra,Chandrapur,2015,November,37.8
Maharashtra,Chandrapur,2015,December,0.6
Maharashtra,Chandrapur,2016,January,8.7
Maharashtra,Chandrapur,2016,February,14.1
Maharashtra,Chandrapur,2016,March,12.7
Maharashtra,Chandrapur,2016,April,4.5
Maharashtra,Chandrapur,2016,May,0
Maharashtra,Chandrapur,2016,June,158.5
Maharashtra,Chandrapur,2016,July,504.8
Maharashtra,Chandrapur,2016,August,485.1
Maharashtra,Chandrapur,2016,September,357.4
Maharashtra,Chandrapur,2016,October,62.4
Maharashtra,Chandrapur,2016,November,42.5
Maharashtra,Chandrapur,2016,December,5.4
Maharashtra,Dhulie,2020,January,0
Maharashtra,Dhulie,2020,February,0
Maharashtra,Dhulie,2020,March,0
Maharashtra,Dhulie,2020,April,0
Maharashtra,Dhulie,2020,May,24.3
Maharashtra,Dhulie,2020,June,140.3
Maharashtra,Dhulie,2020,July,196.2
Maharashtra,Dhulie,2020,August,222.5
Maharashtra,Dhulie,2020,September,138.2
Maharashtra,Dhulie,2020,October,72
Maharashtra,Dhulie,2020,November,0
Maharashtra,Dhulie,2020,December,0
Maharashtra,Dhulie,2019,January,0
Maharashtra,Dhulie,2019,February,0
Maharashtra,Dhulie,2019,March,0
Maharashtra,Dhulie,2019,April,0
Maharashtra,Dhulie,2019,May,0
Maharashtra,Dhulie,2019,June,152.5
Maharashtra,Dhulie,2019,July,133.7
Maharashtra,Dhulie,2019,August,48.1
Maharashtra,Dhulie,2019,September,216
Maharashtra,Dhulie,2019,October,8
Maharashtra,Dhulie,2019,November,0
Maharashtra,Dhulie,2019,December,0
Maharashtra,Dhulie,2018,January,0
Maharashtra,Dhulie,2018,February,0
Maharashtra,Dhulie,2018,March,0
Maharashtra,Dhulie,2018,April,0
Maharashtra,Dhulie,2018,May,0
Maharashtra,Dhulie,2018,June,124
Maharashtra,Dhulie,2018,July,274.8
Maharashtra,Dhulie,2018,August,269.1
Maharashtra,Dhulie,2018,September,231.9
Maharashtra,Dhulie,2018,October,38.3
Maharashtra,Dhulie,2018,November,4.4
Maharashtra,Dhulie,2018,December,0
Maharashtra,Dhulie,2017,January,0
Maharashtra,Dhulie,2017,February,0
Maharashtra,Dhulie,2017,March,0
Maharashtra,Dhulie,2017,April,0
Maharashtra,Dhulie,2017,May,0
Maharashtra,Dhulie,2017,June,117
Maharashtra,Dhulie,2017,July,179.5
Maharashtra,Dhulie,2017,August,127.3
Maharashtra,Dhulie,2017,September,174.3
Maharashtra,Dhulie,2017,October,0
Maharashtra,Dhulie,2017,November,0
Maharashtra,Dhulie,2017,December,0
Maharashtra,Dhulie,2014,January,0
Maharashtra,Dhulie,2014,February,0
Maharashtra,Dhulie,2014,March,0
Maharashtra,Dhulie,2014,April,0
Maharashtra,Dhulie,2014,May,0
Maharashtra,Dhulie,2014,June,19.5
Maharashtra,Dhulie,2014,July,153.3
Maharashtra,Dhulie,2014,August,80
Maharashtra,Dhulie,2014,September,211
Maharashtra,Dhulie,2014,October,8.3
Maharashtra,Dhulie,2014,November,0
Maharashtra,Dhulie,2014,December,0
Maharashtra,Dhulie,2015,January,0
Maharashtra,Dhulie,2015,February,0
Maharashtra,Dhulie,2015,March,0
Maharashtra,Dhulie,2015,April,0
Maharashtra,Dhulie,2015,May,0
Maharashtra,Dhulie,2015,June,60.8
Maharashtra,Dhulie,2015,July,187.3
Maharashtra,Dhulie,2015,August,113.3
Maharashtra,Dhulie,2015,September,155.3
Maharashtra,Dhulie,2015,October,49
Maharashtra,Dhulie,2015,November,87.5
Maharashtra,Dhulie,2015,December,19.8
Maharashtra,Dhulie,2016,January,0
Maharashtra,Dhulie,2016,February,0
Maharashtra,Dhulie,2016,March,1
Maharashtra,Dhulie,2016,April,0
Maharashtra,Dhulie,2016,May,8.3
Maharashtra,Dhulie,2016,June,80.8
Maharashtra,Dhulie,2016,July,201.3
Maharashtra,Dhulie,2016,August,167.3
Maharashtra,Dhulie,2016,September,59
Maharashtra,Dhulie,2016,October,41
Maharashtra,Dhulie,2016,November,81.2
Maharashtra,Dhulie,2016,December,0
